tiempo,altura,setpoint,flujo_entrada,flujo_salida,error
0.0000,0.0000,1.0000,1.0000,0.0000,1.0000
0.0000,0.0000,1.0000,1.0000,0.0000,1.0000
0.0000,0.0100,1.0000,0.9650,0.0000,0.9900
0.0000,0.0287,1.0000,0.9731,0.0696,0.9713
0.0000,0.0380,1.0000,1.0000,0.0847,0.9620
0.0000,0.0475,1.0000,1.0000,0.0975,0.9525
0.0000,0.0570,1.0000,1.0000,0.1090,0.9430
0.0000,0.0664,1.0000,1.0000,0.1193,0.9336
0.0000,0.0757,1.0000,0.9975,0.1288,0.9243
0.0000,0.0850,1.0000,1.0000,0.1376,0.9150
0.0000,0.0943,1.0000,1.0000,0.1458,0.9057
0.0000,0.1035,1.0000,1.0000,0.1535,0.8965
0.0000,0.1127,1.0000,1.0000,0.1609,0.8873
0.0000,0.1219,1.0000,0.9976,0.1679,0.8781
0.0000,0.1310,1.0000,1.0000,0.1746,0.8690
0.0000,0.1401,1.0000,1.0000,0.1810,0.8599
0.0000,0.1491,1.0000,1.0000,0.1871,0.8509
0.0000,0.1582,1.0000,1.0000,0.1931,0.8418
0.0000,0.1672,1.0000,0.9962,0.1989,0.8328
0.0000,0.1761,1.0000,1.0000,0.2044,0.8239
0.0000,0.1851,1.0000,1.0000,0.2098,0.8149
0.0000,0.1940,1.0000,1.0000,0.2151,0.8060
0.0000,0.2029,1.0000,1.0000,0.2202,0.7971
0.0000,0.2118,1.0000,0.9931,0.2252,0.7882
0.0000,0.2206,1.0000,1.0000,0.2301,0.7794
0.0000,0.2382,1.0000,0.9838,0.2395,0.7618
0.0000,0.2468,1.0000,1.0000,0.2440,0.7532
0.0000,0.2556,1.0000,1.0000,0.2484,0.7444
0.0000,0.2643,1.0000,1.0000,0.2528,0.7357
0.0000,0.2730,1.0000,1.0000,0.2570,0.7270
0.0000,0.2817,1.0000,1.0000,0.2613,0.7183
0.0000,0.2904,1.0000,0.9916,0.2654,0.7096
0.0000,0.2989,1.0000,1.0000,0.2694,0.7011
0.0000,0.3076,1.0000,1.0000,0.2734,0.6924
0.0000,0.3162,1.0000,1.0000,0.2773,0.6838
0.0000,0.3248,1.0000,0.9925,0.2812,0.6752
0.0000,0.3333,1.0000,1.0000,0.2850,0.6667
0.0000,0.3418,1.0000,1.0000,0.2887,0.6582
0.0000,0.3504,1.0000,1.0000,0.2923,0.6496
0.0000,0.3589,1.0000,0.9919,0.2960,0.6411
0.0000,0.3673,1.0000,1.0000,0.2995,0.6327
0.0000,0.3758,1.0000,1.0000,0.3030,0.6242
0.0000,0.3843,1.0000,0.9983,0.3065,0.6157
0.0000,0.3927,1.0000,1.0000,0.3099,0.6073
0.0000,0.4011,1.0000,1.0000,0.3133,0.5989
0.0000,0.4096,1.0000,1.0000,0.3167,0.5904
0.0000,0.4180,1.0000,0.9951,0.3200,0.5820
0.0000,0.4263,1.0000,1.0000,0.3232,0.5737
0.0000,0.4347,1.0000,1.0000,0.3265,0.5653
0.0000,0.4430,1.0000,0.9989,0.3296,0.5570
0.0000,0.4513,1.0000,1.0000,0.3328,0.5487
0.0000,0.4597,1.0000,1.0000,0.3359,0.5403
0.0000,0.4680,1.0000,1.0000,0.3390,0.5320
0.0000,0.4763,1.0000,0.9932,0.3420,0.5237
0.0000,0.4845,1.0000,1.0000,0.3451,0.5155
0.0000,0.4927,1.0000,1.0000,0.3480,0.5073
0.0000,0.5010,1.0000,0.9944,0.3510,0.4990
0.0000,0.5091,1.0000,1.0000,0.3539,0.4909
0.0000,0.5174,1.0000,1.0000,0.3568,0.4826
0.0000,0.5256,1.0000,0.9945,0.3596,0.4744
0.0000,0.5337,1.0000,1.0000,0.3625,0.4663
0.0000,0.5419,1.0000,1.0000,0.3653,0.4581
0.0000,0.5500,1.0000,0.9934,0.3681,0.4500
0.0000,0.5581,1.0000,1.0000,0.3708,0.4419
0.0000,0.5662,1.0000,0.9994,0.3735,0.4338
0.0000,0.5824,1.0000,0.9838,0.3789,0.4176
0.0000,0.5904,1.0000,1.0000,0.3816,0.4096
0.0000,0.5985,1.0000,1.0000,0.3842,0.4015
0.0000,0.6065,1.0000,1.0000,0.3868,0.3935
0.0000,0.6146,1.0000,0.9926,0.3894,0.3854
0.0000,0.6225,1.0000,1.0000,0.3920,0.3775
0.0000,0.6306,1.0000,0.9955,0.3945,0.3694
0.0000,0.6465,1.0000,0.9775,0.3995,0.3535
0.0000,0.6543,1.0000,1.0000,0.4020,0.3457
0.0000,0.6622,1.0000,0.9989,0.4044,0.3378
0.0000,0.6702,1.0000,1.0000,0.4069,0.3298
0.0000,0.6781,1.0000,0.9996,0.4093,0.3219
0.0000,0.6861,1.0000,1.0000,0.4117,0.3139
0.0000,0.6940,1.0000,0.9995,0.4142,0.3060
0.0000,0.7019,1.0000,1.0000,0.4165,0.2981
0.0000,0.7177,1.0000,0.9710,0.4213,0.2823
0.0000,0.7253,1.0000,0.9976,0.4236,0.2747
0.0000,0.7332,1.0000,1.0000,0.4258,0.2668
0.0000,0.7410,1.0000,0.9946,0.4281,0.2590
0.0000,0.7488,1.0000,0.9995,0.4304,0.2512
0.0000,0.7566,1.0000,1.0000,0.4327,0.2434
0.0000,0.7645,1.0000,0.9960,0.4349,0.2355
0.0000,0.7722,1.0000,0.9997,0.4372,0.2278
0.0000,0.7800,1.0000,1.0000,0.4394,0.2200
0.0000,0.7878,1.0000,0.9951,0.4416,0.2122
0.0000,0.7956,1.0000,0.9977,0.4438,0.2044
